index_component_type,secucode,stock_code,stock_name,close_price,change_rate,trade_date,industry,region,weight,eps,roe,free_cap,pe,source
7,600640.SH,600640,国脉文化,11.61,-0.257731958763,2026-06-03 00:00:00,广告营销,上海市,,0.0099,0.2,92.38,291.94,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,002832.SZ,002832,比音勒芬,19.92,-1.968503937008,2026-06-03 00:00:00,服装家纺,广州市,,0.68,6.96,77.57,7.36,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,601882.SH,601882,海天精工,20.3,-2.824317855433,2026-06-03 00:00:00,通用设备,宁波市,,0.2133,3.71,105.97,23.79,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,603866.SH,603866,桃李面包,4.57,-1.720430107527,2026-06-03 00:00:00,休闲食品,沈阳市,,0.0324,0.99,73.11,35.26,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,603306.SH,603306,华懋科技,106.98,5.078086631961,2026-06-03 00:00:00,汽车零部件,厦门市,,0.035,0.34,352.49,753.43,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,601163.SH,601163,三角轮胎,13.88,-1.630049610206,2026-06-03 00:00:00,汽车零部件,威海市,,0.27,1.55,111.04,12.75,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,300493.SZ,300493,润欣科技,14.74,-1.864181091877,2026-06-03 00:00:00,其他电子Ⅱ,上海市,,0.03,1.46,74.67,112.08,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,603300.SH,603300,海南华铁,5.28,-3.473491773309,2026-06-03 00:00:00,多元金融,杭州市,,0.05,1.65,105.31,24.18,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,603013.SH,603013,亚普股份,18.85,-2.432712215321,2026-06-03 00:00:00,汽车零部件,扬州市,,0.32,3.54,95.8,14.79,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,300170.SZ,300170,汉得信息,19.11,-0.624024960998,2026-06-03 00:00:00,IT服务Ⅱ,上海市,,0.04,0.69,186.67,125.29,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,002612.SZ,002612,朗姿股份,13.03,-2.25056264066,2026-06-03 00:00:00,服装家纺,北京市,,0.1115,1.49,33.16,29.21,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,002079.SZ,002079,苏州固锝,12.22,1.410788381743,2026-06-03 00:00:00,电池,苏州市,,0.1048,2.7,99.05,32.65,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,002701.SZ,002701,奥瑞金,4.96,-1.587301587302,2026-06-03 00:00:00,包装印刷,北京市,,0.2,5.18,126.85,6.14,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,300409.SZ,300409,道氏技术,22.0,-0.452488687783,2026-06-03 00:00:00,电池,江门市,,0.1397,1.33,151.25,39.96,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
