stock_code,stock_name,family_ids,display_names,industry,region,component_rank_best,index_weight_pct_max,component_free_cap_max,component_pe,component_eps,component_roe_pct,component_trade_date,source_etf_codes,source_etf_names,source_etf_dates,source_etf_pred_fwd_ret_5_best,source_etf_pred_rank_best,source_etf_signal_reasons
002463,沪电股份,CSI_A50,中证A50,元件,苏州市,11.0,,2561.57,51.6,0.6455,7.81,2026-06-05 00:00:00,159601,中证A50ETF华夏,2026-06-05,0.0110619502339789,3.0,pred>= 0.0000
300408,三环集团,CSI_A50,中证A50,元件,潮州市,12.0,,2521.06,81.68,0.41,3.59,2026-06-05 00:00:00,159601,中证A50ETF华夏,2026-06-05,0.0110619502339789,3.0,pred>= 0.0000
300059,东方财富,CSI_300;CSI_A50,沪深300;中证A50,证券Ⅱ,上海市,13.0,0.89,2473.03,19.6,0.2365,3.99,2026-06-05 00:00:00,510310;159601,沪深300ETF易方达;中证A50ETF华夏,2026-06-05,0.0110619502339789,3.0,pred>= 0.0000
300274,阳光电源,CSI_300;CSI_A50,沪深300;中证A50,光伏设备,合肥市,14.0,0.89,2440.82,34.78,1.12,4.81,2026-06-05 00:00:00,510310;159601,沪深300ETF易方达;中证A50ETF华夏,2026-06-05,0.0110619502339789,3.0,pred>= 0.0000
000725,京东方A,CSI_A50,中证A50,光学光电子,北京市,15.0,,2336.77,34.88,0.05,1.26,2026-06-05 00:00:00,159601,中证A50ETF华夏,2026-06-05,0.0110619502339789,3.0,pred>= 0.0000
000651,格力电器,CSI_A50,中证A50,白色家电,珠海市,16.0,,2123.76,8.85,1.09,4.07,2026-06-05 00:00:00,159601,中证A50ETF华夏,2026-06-05,0.0110619502339789,3.0,pred>= 0.0000
300124,汇川技术,CSI_A50,中证A50,自动化设备,深圳市,17.0,,1809.66,50.15,0.37,2.83,2026-06-05 00:00:00,159601,中证A50ETF华夏,2026-06-05,0.0110619502339789,3.0,pred>= 0.0000
300760,迈瑞医疗,CSI_A50,中证A50,医疗器械,深圳市,18.0,,1749.14,18.79,1.9225,5.96,2026-06-05 00:00:00,159601,中证A50ETF华夏,2026-06-05,0.0110619502339789,3.0,pred>= 0.0000
002352,顺丰控股,CSI_A50,中证A50,物流,深圳市,19.0,,1662.83,17.39,0.51,2.52,2026-06-05 00:00:00,159601,中证A50ETF华夏,2026-06-05,0.0110619502339789,3.0,pred>= 0.0000
000063,中兴通讯,CSI_A50,中证A50,通信设备,深圳市,20.0,,1576.01,35.71,0.27,1.72,2026-06-05 00:00:00,159601,中证A50ETF华夏,2026-06-05,0.0110619502339789,3.0,pred>= 0.0000
